,Lemma,TF-IDF
270,同じ,1.0879078222257795e-05
271,なんて,1.440873184663663e-05
272,簡単,4.284767503921844e-06
273,親,3.114444345436313e-05
274,七光り,0
275,優しい,2.921033738894806e-05
276,方,0.0
277,良い,0.0
278,わ,0.0
279,始まる,1.890563555721791e-05
280,さん,0.0
281,諸君,0
282,囚人,0
283,倒す,0
284,詰まり,0
285,殺す,6.377434521851997e-06
286,や,0.0
287,遣る,0.0
288,ちゃう,0.0
289,此の,0.0
290,男,6.709662624718956e-05
291,仲間,1.3842735602477532e-05
292,失格,0
293,力,4.107346254209264e-06
294,合わせる,0
295,本当,0.0
296,仕舞う,3.151910091451763e-06
297,まじ,0.00011568872260588979
298,余裕,0
299,ほ,6.31993444808387e-05
300,餓鬼,3.870236827286888e-05
301,威勢,0
302,楽しむ,3.911912869890955e-05
303,せる,0.0
304,開始,0
305,何時,0.0
306,通り,0.0
307,つう,0.0
308,後ろ下,0
309,煩い,0.00011343381334330745
310,沈滞,0
311,懲役,0
312,期間,0
313,短い,2.5401631827244393e-05
314,此奴,4.502728702073948e-06
315,早い,0.0
316,敬礼,0
317,越す,0
318,アヤナミ,0
319,参謀,0
320,長官,0
321,助ける,4.626969217093797e-06
322,見苦しい,0
323,ＡＷＫ,0
324,子息,0
325,実戦,0
326,家柄,0
327,関係,1.3978463801497827e-05
328,大抵,0
329,脱落,0
330,どんな,1.0879078222257795e-05
331,訓練,0
332,成績,7.036282800394355e-05
333,使う,0.0
334,極く,0
335,僅か,0
336,退ける,0
337,降参,0
338,動く,0
339,止める,0.0
340,為さる,1.3057913236014448e-05
341,敵,0
342,必要,5.514062544561714e-06
343,手緩い,0
344,彼奴,1.4505437629677059e-05
345,含める,0
346,彼の,1.0806548884977474e-05
347,材,0
348,糞,2.142383751960922e-05
349,放つ,0
350,一体,3.2848393965553335e-06
351,伯父,5.5370942409910126e-05
352,何千,0
353,手,0.0
354,震える,4.063227917994225e-05
355,感謝,0
356,命,0
357,救う,0
358,止め,0
359,さす,0
360,誇り,0
361,大,0
362,漸と,1.7526202433368836e-05
363,一人前,0
364,休む,2.07641034037163e-05
365,最後,1.3880907651281392e-05
366,ふざける,1.3842735602477532e-05
367,御免,0.0
368,ずっと,1.779850043490681e-05
369,側,1.890563555721791e-05
370,必ず,3.7811271114435817e-06
371,迎える,5.160315769715851e-05
372,赤い,8.727956026276784e-05
373,者,1.3508186106221842e-06
374,書類,0.0003427566996441108
375,提出,0
376,午前,0
377,間,4.052455831866553e-06
378,音,2.5822263024946788e-05
379,反応,1.4920894825119133e-05
380,石,0
