,Lemma,TF-IDF
255,愈,1.3123758128006819e-05
256,決める,7.0052524005509685e-06
257,られる,0.0
258,其々,0
259,会場,1.6545639249575472e-05
260,以上,9.283023941815636e-06
261,頑張る,1.1071972029215483e-05
262,此方,0.0
263,急ぐ,5.156904411690934e-05
264,付き合う,1.948938002610618e-05
265,不足,0
266,喋る,1.0776881675877265e-05
267,続ける,2.6650778717628443e-05
268,所為,1.4010504801101937e-05
269,癖,1.9283681148426536e-05
270,同じ,5.9612601447923335e-06
271,なんて,1.8461070185984145e-05
272,簡単,2.474715166636927e-05
273,親,2.8841264333055736e-05
274,七光り,0
275,優しい,2.0081343465869718e-05
276,方,0.0
277,良い,0.0
278,わ,0.0
279,始まる,1.7243010681403625e-05
280,さん,0.0
281,諸君,5.5731111523787206e-05
282,囚人,4.808360341714017e-05
283,倒す,0
284,詰まり,7.32748268377108e-05
285,殺す,0.00027171375417067305
286,や,0.0
287,遣る,0.0
288,ちゃう,0.0
289,此の,0.0
290,男,5.216227152358039e-05
291,仲間,2.0795922516976522e-05
292,失格,0
293,力,5.535986014607741e-06
294,合わせる,2.430558470449493e-05
295,本当,0.0
296,仕舞う,6.83743340221635e-06
297,まじ,4.097782244040639e-05
298,余裕,9.837758762946378e-06
299,ほ,1.9425403023691288e-05
300,餓鬼,9.391032681280734e-05
301,威勢,0
302,楽しむ,4.861116940898986e-05
303,せる,0.0
304,開始,2.0438257142500543e-05
305,何時,0.0
306,通り,0.0
307,つう,0.0
308,後ろ下,0
309,煩い,2.9792272246760582e-05
310,沈滞,0
311,懲役,0
312,期間,2.6030020281791054e-05
313,短い,0
314,此奴,6.83743340221635e-06
315,早い,0.0
316,敬礼,0
317,越す,2.8082010198787046e-05
318,アヤナミ,0
319,参謀,0
320,長官,0
321,助ける,2.1015757201652905e-05
322,見苦しい,0
323,ＡＷＫ,0
324,子息,9.616720683428034e-05
325,実戦,0
326,家柄,0
327,関係,1.6551262359311435e-05
328,大抵,2.5173943968438455e-05
329,脱落,0
330,どんな,9.629727926202998e-06
331,訓練,0
332,成績,1.9425403023691288e-05
333,使う,0.0
334,極く,0.00011406400755597827
335,僅か,0
336,退ける,2.6925928141875656e-05
337,降参,0
338,動く,1.8206388595242578e-05
339,止める,0.0
340,為さる,1.1851551230508339e-05
341,敵,2.4361725032632726e-05
342,必要,1.3924535912723453e-05
343,手緩い,0
344,彼奴,2.6137832942551e-05
345,含める,1.881396925740183e-05
346,彼の,2.8889183778609e-05
347,材,0
348,糞,6.267196373238625e-05
349,放つ,1.1005300829704872e-05
350,一体,5.792941825759002e-05
351,伯父,0.00012048806079521831
352,何千,0
353,手,0.0
354,震える,0
355,感謝,4.2189366885076206e-05
356,命,1.2892261029227335e-05
357,救う,4.36848541093926e-05
358,止め,0
359,さす,7.232361671752642e-05
360,誇り,0
361,大,1.8680673068135915e-05
362,漸と,1.0675871991229406e-05
363,一人前,3.216297610496938e-05
364,休む,1.0397961258488261e-05
365,最後,2.3350841335169896e-05
366,ふざける,3.2130149545391545e-05
367,御免,0.0
368,ずっと,8.303979021911612e-06
369,側,7.231380430659952e-06
370,必ず,2.410460143553317e-05
371,迎える,3.353940243314548e-05
372,赤い,5.072405373689401e-05
373,者,1.0711978996805614e-05
374,書類,2.6925928141875656e-05
375,提出,2.8853390030310562e-05
376,午前,0
377,間,0.0
378,音,3.897876005221236e-05
379,反応,0
380,石,0
381,何処,0.0
382,然し,3.9474151423250026e-05
383,敵国,0
384,戦争,1.6545639249575472e-05
385,消える,2.9358647975880867e-05
386,血族,0
387,見落とす,4.121456260946116e-05
388,見付ける,1.3147966784693386e-05
389,国王,0
390,首飾り,0
391,べし,1.5507702344848227e-05
